Article,Fig,Rate,Glucose,ATP,G6P,ADP,Phosphate,pH,Temperature,Apparent_Keq
CopleyJBC1967,Fig9,0.625355502,0.0001,0.00166,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.497175672,0.0001,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.419708723,0.0001,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.605399793,0.0001,0.005,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.48633601,0.0001,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.401925069,0.0001,0.00166,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.312395006,0.0001,0.001,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.260008956,0.0001,0.00071,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.498162966,0.0001,0.005,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.400961452,0.0001,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.323639374,0.0001,0.00166,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.24449262,0.0001,0.001,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.204695714,0.0001,0.00071,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.385277431,0.0001,0.005,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.334858182,0.0001,0.0025,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.258438871,0.0001,0.00166,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.19811026,0.0001,0.001,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig9,0.162407643,0.0001,0.00071,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.783756801,0.0001,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.6020148,5.00E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.480945564,2.50E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.382019397,1.70E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.322111863,1.25E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.595354234,0.0001,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.518826225,5.00E-05,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.385390632,2.50E-05,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.310644252,1.70E-05,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.26253205,1.25E-05,0.0025,0,0.0012,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.472170158,0.0001,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.405065778,5.00E-05,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.327855581,2.50E-05,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.27667943,1.70E-05,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.233557795,1.25E-05,0.0025,0,0.0024,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.404836135,0.0001,0.0025,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.356658012,5.00E-05,0.0025,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.283873322,2.50E-05,0.0025,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.249405076,1.70E-05,0.0025,0,0.0036,0,7.6,28,4665.4
CopleyJBC1967,Fig10,0.208458062,1.25E-05,0.0025,0,0.0036,0,7.6,28,4665.4
MagnaniMolCellBio98,Fig6A,0.322851153,0.0025,0.002,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.277377522,0.0025,0.0015,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.207491242,0.0025,0.001,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.169454225,0.0025,0.0008,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.129673291,0.0025,0.0006,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.110935024,0.0025,0.0005,5.00E-05,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.430167598,0.0025,0.002,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.332326284,0.0025,0.0015,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.251223491,0.0025,0.001,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.216413716,0.0025,0.0008,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.177419355,0.0025,0.0006,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.149340574,0.0025,0.0005,5.00E-05,0,0.001,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.507246377,0.0025,0.002,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.438496583,0.0025,0.0015,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.284342688,0.0025,0.001,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.251223491,0.0025,0.0008,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.215384615,0.0025,0.0006,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.188494492,0.0025,0.0005,5.00E-05,0,0.002,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.644351464,0.0025,0.002,0,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.543785311,0.0025,0.0015,0,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.451612903,0.0025,0.001,0,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.37342386,0.0025,0.0008,0,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.344982079,0.0025,0.0006,0,0,0,7.2,37,2819.08
MagnaniMolCellBio98,Fig6A,0.277377522,0.0025,0.0005,0,0,0,7.2,37,2819.08
KosowArchBnB1973,Fig1,1.849029802,0.00012,0.001,0,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,1.687851737,0.00012,0.001,5.00E-06,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,1.361227306,0.00012,0.001,1.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,1.126208049,0.00012,0.001,1.50E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,0.879625799,0.00012,0.001,2.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,0.589334114,0.00012,0.001,3.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,0.409374679,0.00012,0.001,4.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig1,2.305305896,0.00012,0.001,0,0,0.004,8,25,9980.02
KosowArchBnB1973,Fig1,1.80405227,0.00012,0.001,1.00E-05,0,0.004,8,25,9980.02
KosowArchBnB1973,Fig1,1.469578508,0.00012,0.001,2.00E-05,0,0.004,8,25,9980.02
KosowArchBnB1973,Fig1,1.353026446,0.00012,0.001,3.00E-05,0,0.004,8,25,9980.02
KosowArchBnB1973,Fig1,1.1192777,0.00012,0.001,4.00E-05,0,0.004,8,25,9980.02
KosowArchBnB1973,Fig2,0.638381877,0.00012,0.004,2.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.552534815,0.00012,0.002,2.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.354697843,0.00012,0.001,2.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.258499191,0.00012,0.0006,2.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.851434774,0.00012,0.004,1.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.693614561,0.00012,0.002,1.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.563595722,0.00012,0.001,1.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.395799737,0.00012,0.0006,1.00E-05,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.968803511,0.00012,0.004,0,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.873474042,0.00012,0.002,0,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.855645477,0.00012,0.001,0,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.753478044,0.00012,0.0006,0,0,0,8,25,9980.02
KosowArchBnB1973,Fig2,0.725309464,0.00012,0.004,4.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.655652544,0.00012,0.002,4.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.49566416,0.00012,0.001,4.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.385263624,0.00012,0.0006,4.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.864934625,0.00012,0.004,2.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.734532542,0.00012,0.002,2.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.660681862,0.00012,0.001,2.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.531611147,0.00012,0.0006,2.00E-05,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.984549487,0.00012,0.004,0,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.915846945,0.00012,0.002,0,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig2,0.878082639,0.00012,0.001,0,0,0.005,8,25,9980.02
KosowArchBnB1973,Fig4,0.176564608,9.00E-05,0.001,6.00E-05,0,0,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.236772485,9.00E-05,0.001,6.00E-05,0,0.0001,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.301424344,9.00E-05,0.001,6.00E-05,0,0.0002,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.29707865,9.00E-05,0.001,6.00E-05,0,0.0003,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.357286527,9.00E-05,0.001,6.00E-05,0,0.0004,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.49370904,9.00E-05,0.001,6.00E-05,0,0.001,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.601649351,9.00E-05,0.001,6.00E-05,0,0.002,6.9,25,1018.69
KosowArchBnB1973,Fig4,0.709596684,9.00E-05,0.001,6.00E-05,0,0.003,6.9,25,1018.69
